,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date,Continent
26,2,United States of America,Countdown App,Ryan Boyling,Entertainment,3.05,0.99,35317,2024-12-31,North America
27,3,United States of America,Pocket God,Bolt Creative,Entertainment,4.28,0.99,2634,2024-12-31,North America
28,4,United States of America,Strange Planet Stickers,"KED, LLC",Entertainment,4.5,1.99,287,2024-12-31,North America
29,5,United States of America,Spirit Talker Communicator ITC,Jose Martin,Entertainment,4.59,4.99,3764,2024-12-31,North America
30,6,United States of America,Number Puzzle Games 4 Watch,长金 胡,Entertainment,0.0,0.99,0,2024-12-31,North America
31,7,United States of America,Coloring Watch,Sydvesti Oy,Entertainment,4.29,4.99,1171,2024-12-31,North America
32,8,United States of America,iSTB,Nihal Ahmed,Entertainment,4.54,14.99,1072,2024-12-31,North America
33,9,United States of America,GifJif - Custom Gif Creator,Max Shaw,Entertainment,4.89,0.99,12676,2024-12-31,North America
34,10,United States of America,Stick Nodes Pro - Animator,"ForTheLoss Games, Inc",Entertainment,4.79,3.99,5416,2024-12-31,North America
35,11,United States of America,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.49,8.99,175,2024-12-31,North America
36,12,United States of America,Alien10,Saddiq Rahim,Entertainment,4.31,1.99,312,2024-12-31,North America
37,13,United States of America,Universe Splitter,Aerfish LLC,Entertainment,4.67,1.99,1364,2024-12-31,North America
38,14,United States of America,GSE SMART IPTV PRO,droidvision,Entertainment,4.3,2.99,661,2024-12-31,North America
39,15,United States of America,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,4.57,4.99,2701,2024-12-31,North America
40,16,United States of America,PewPewPew - Fingergun,承远 李,Entertainment,3.94,0.99,17,2024-12-31,North America
41,17,United States of America,Vidi · Media Center,Plata o Plomo AB,Entertainment,4.76,4.99,59,2024-12-31,North America
42,18,United States of America,DNA Transform!,Joao Gabriel Menezes,Entertainment,4.26,2.99,235,2024-12-31,North America
43,19,United States of America,LaCuerda [PRO],NARROI WEBS SC,Entertainment,3.93,2.99,45,2024-12-31,North America
44,20,United States of America,The Ultimate Buzzer Pro,Kevin Makens,Entertainment,4.62,0.99,774,2024-12-31,North America
45,21,United States of America,Ghost Science M3,Michael Weber,Entertainment,4.59,12.99,2135,2024-12-31,North America
46,22,United States of America,Tarot!,"The Fool's Dog, LLC",Entertainment,4.88,3.99,1376,2024-12-31,North America
47,23,United States of America,Himnario LLDM,Berea Internacional,Entertainment,4.45,8.99,136,2024-12-31,North America
48,24,United States of America,Talking Carl,Tayasui.com,Entertainment,4.3,0.99,628,2024-12-31,North America
49,25,United States of America,Blower,Qneo,Entertainment,4.54,1.99,1166,2024-12-31,North America
50,1,United States of America,SkyView®,Terminal Eleven LLC,Education,4.59,2.99,7226,2024-12-30,North America
51,2,United States of America,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,4.11,24.99,1823,2024-12-30,North America
52,3,United States of America,Star Walk 2: Stars and Planets,Vito Technology Inc.,Education,4.72,2.99,64938,2024-12-30,North America
53,4,United States of America,Stack the States®,"Freecloud Design, Inc.",Education,4.43,2.99,2092,2024-12-30,North America
54,5,United States of America,CE5 Contact,Sirius Technology Advanced Research,Education,3.43,9.99,151,2024-12-30,North America
55,6,United States of America,PDG PROmote 2025-2027,ForceReadiness.com,Education,4.81,34.99,8576,2024-12-30,North America
56,7,United States of America,HamStudy.org,Signal Stuff,Education,4.9,3.99,1454,2024-12-30,North America
57,8,United States of America,9/11 Museum Audio Guide,National September 11 Memorial & Museum,Education,4.53,9.99,45,2024-12-30,North America
58,9,United States of America,Sky Watcher’s Bundle,Terminal Eleven LLC,Education,4.5,4.99,12,2024-12-30,North America
59,10,United States of America,Prepware Aviation Maintenance,ASA,Education,3.88,9.99,304,2024-12-30,North America
60,11,United States of America,Teach Your Monster to Read,Teach Your Monster,Education,4.64,8.99,11244,2024-12-30,North America
61,12,United States of America,Stack the Countries®,"Freecloud Design, Inc.",Education,4.55,2.99,941,2024-12-30,North America
62,13,United States of America,PANTHEON - Official,D'Uva Workshop s.r.l.,Education,1.69,1.99,13,2024-12-30,North America
63,14,United States of America,GENKI Vocab for 3rd Ed.,"The Japan Times Publishing, Ltd.",Education,3.12,5.99,81,2024-12-30,North America
64,15,United States of America,Sesame Street Alphabet Kitchen,Sesame Workshop (Apps),Education,3.74,3.49,164,2024-12-30,North America
65,16,United States of America,Toca Hair Salon 2,Toca Boca AB,Education,4.05,3.99,886,2024-12-30,North America
66,17,United States of America,Wild Kratts Rescue Run,PBS KIDS,Education,3.88,2.99,162,2024-12-30,North America
67,18,United States of America,Stargate ESP Trainer,Russell Targ,Education,4.35,0.99,31,2024-12-30,North America
68,19,United States of America,TX Real Estate Exam Flashcards,Champions School of Real Estate,Education,4.78,2.99,2886,2024-12-30,North America
69,20,United States of America,Prepware Private Pilot,ASA,Education,3.92,9.99,116,2024-12-30,North America
70,21,United States of America,Explore Daniel's Neighborhood,PBS KIDS,Education,3.9,2.99,285,2024-12-30,North America
71,22,United States of America,StarMap 3D+ Plus,Sanville Software,Education,4.83,2.99,6342,2024-12-30,North America
72,23,United States of America,ABA Wizard,"Test Prep Technologies, LLC",Education,4.81,14.99,3861,2024-12-30,North America
73,24,United States of America,Monkey Preschool Lunchbox,THUP Games,Education,4.05,1.99,299,2024-12-30,North America
74,25,United States of America,Starlight® - Explore the Stars,"ION6, LLC",Education,4.74,2.99,2732,2024-12-30,North America
75,1,United States of America,SkyView®,Terminal Eleven LLC,Education,4.59,2.99,7226,2024-12-31,North America
76,2,United States of America,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,4.11,24.99,1823,2024-12-31,North America
77,3,United States of America,CE5 Contact,Sirius Technology Advanced Research,Education,3.43,9.99,151,2024-12-31,North America
78,4,United States of America,Star Walk 2: Stars and Planets,Vito Technology Inc.,Education,4.72,2.99,64938,2024-12-31,North America
79,5,United States of America,Stack the States®,"Freecloud Design, Inc.",Education,4.43,2.99,2092,2024-12-31,North America
80,6,United States of America,PDG PROmote 2025-2027,ForceReadiness.com,Education,4.81,34.99,8576,2024-12-31,North America
81,7,United States of America,HamStudy.org,Signal Stuff,Education,4.9,3.99,1454,2024-12-31,North America
82,8,United States of America,Sky Watcher’s Bundle,Terminal Eleven LLC,Education,4.5,4.99,12,2024-12-31,North America
83,9,United States of America,Stack the Countries®,"Freecloud Design, Inc.",Education,4.55,2.99,941,2024-12-31,North America
84,10,United States of America,PhET Simulations,University of Colorado Boulder,Education,4.48,0.99,44,2024-12-31,North America
85,11,United States of America,Prepware Aviation Maintenance,ASA,Education,3.88,9.99,304,2024-12-31,North America
86,12,United States of America,Elmo Calls,Sesame Workshop (Apps),Education,4.36,1.99,943,2024-12-31,North America
87,13,United States of America,Lineman's Reference - XFMR LAB,Digital Apprentice LLC,Education,4.14,9.99,118,2024-12-31,North America
88,14,United States of America,The Observant Mom,Amber Domoradzki,Education,4.69,1.99,159,2024-12-31,North America
89,15,United States of America,Sesame Street Alphabet Kitchen,Sesame Workshop (Apps),Education,3.74,3.49,164,2024-12-31,North America
90,16,United States of America,ABA Wizard,"Test Prep Technologies, LLC",Education,4.81,14.99,3861,2024-12-31,North America
91,17,United States of America,Peekaboo Barn,"Night & Day Studios, Inc.",Education,3.32,1.99,290,2024-12-31,North America
92,18,United States of America,Prepware Private Pilot,ASA,Education,3.92,9.99,116,2024-12-31,North America
93,19,United States of America,Toca Hair Salon 3,Toca Boca AB,Education,4.15,4.99,2297,2024-12-31,North America
94,20,United States of America,StarMap 3D+ Plus,Sanville Software,Education,4.83,2.99,6342,2024-12-31,North America
95,21,United States of America,PROmote - Army Study Guide,ForceReadiness.com,Education,4.75,5.99,5909,2024-12-31,North America
96,22,United States of America,Teach Your Monster to Read,Teach Your Monster,Education,4.64,8.99,11244,2024-12-31,North America
97,23,United States of America,Prepware Remote Pilot,ASA,Education,4.36,4.99,88,2024-12-31,North America
98,24,United States of America,Toca Hair Salon 2,Toca Boca AB,Education,4.05,3.99,886,2024-12-31,North America
99,25,United States of America,Stargate ESP Trainer,Russell Targ,Education,4.35,0.99,31,2024-12-31,North America
100,1,Australia,Pocket God,Bolt Creative,Entertainment,4.09,1.99,175,2024-12-30,Oceania
101,2,Australia,Strange Planet Stickers,"KED, LLC",Entertainment,4.64,2.99,14,2024-12-30,Oceania
102,3,Australia,Coloring Watch,Sydvesti Oy,Entertainment,4.68,5.99,28,2024-12-30,Oceania
103,4,Australia,Spirit Contact Talker ITC,Jose Martin,Entertainment,4.35,7.99,113,2024-12-30,Oceania
104,5,Australia,DNA Transform!,Joao Gabriel Menezes,Entertainment,4.65,4.99,17,2024-12-30,Oceania
105,6,Australia,Toca Hair Salon Me,Toca Boca AB,Entertainment,3.64,7.99,25,2024-12-30,Oceania
106,7,Australia,Dice Pro,Lukas Lubbe,Entertainment,4.88,2.99,8,2024-12-30,Oceania
107,8,Australia,Big Button Box - Sound Effects,Shaved Labs Ltd,Entertainment,4.63,2.99,16,2024-12-30,Oceania
108,9,Australia,Wreck This App,Penguin Group USA,Entertainment,3.0,5.99,4,2024-12-30,Oceania
109,10,Australia,Alien10,Saddiq Rahim,Entertainment,3.71,2.99,21,2024-12-30,Oceania
110,11,Australia,Dog Optics,Risbeck LLC,Entertainment,5.0,1.99,2,2024-12-30,Oceania
111,12,Australia,Countdown Star (Ad-Free),Joseph Merrill,Entertainment,4.64,1.99,257,2024-12-30,Oceania
112,13,Australia,Kamasutra - Sex Positions,SYSCO CZ s.r.o.,Entertainment,4.0,2.99,1,2024-12-30,Oceania
113,14,Australia,Silk 2 – Generative Art,Yuri Vishnevsky,Entertainment,4.69,4.99,61,2024-12-30,Oceania
114,15,Australia,Peggy Cat - A Virtual Pet,活鹏 麦,Entertainment,3.9,2.99,10,2024-12-30,Oceania
115,16,Australia,Hey Duggee: The Big Badge App,BBC Studios Distribution Ltd.,Entertainment,4.17,4.99,48,2024-12-30,Oceania
116,17,Australia,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.33,14.99,3,2024-12-30,Oceania
117,18,Australia,Decide Now! — Random Wheel,Catforce Studio,Entertainment,4.46,2.99,26,2024-12-30,Oceania
118,19,Australia,TV Launcher - Live AU Channels,Adam Foot,Entertainment,4.21,9.99,29,2024-12-30,Oceania
119,20,Australia,Ghosthunting Toolkit,Rocket Splash Games,Entertainment,4.18,9.99,83,2024-12-30,Oceania
120,21,Australia,Pixar Stickers: Inside Out 2,Disney,Entertainment,5.0,2.99,1,2024-12-30,Oceania
121,22,Australia,nPlayer,Newin Inc.,Entertainment,4.71,7.99,171,2024-12-30,Oceania
122,23,Australia,Ghost Hunter M2,Michael Weber,Entertainment,4.66,12.99,50,2024-12-30,Oceania
123,24,Australia,Hey Duggee Bumper Bundle,BBC Studios Distribution Ltd.,Entertainment,3.9,14.99,13,2024-12-30,Oceania
124,25,Australia,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.45,2.99,111,2024-12-30,Oceania
125,1,Australia,Pocket God,Bolt Creative,Entertainment,4.09,1.99,175,2024-12-31,Oceania
126,2,Australia,Strange Planet Stickers,"KED, LLC",Entertainment,4.64,2.99,14,2024-12-31,Oceania
127,3,Australia,Coloring Watch,Sydvesti Oy,Entertainment,4.68,5.99,28,2024-12-31,Oceania
128,4,Australia,Countdown Star (Ad-Free),Joseph Merrill,Entertainment,4.64,1.99,257,2024-12-31,Oceania
129,5,Australia,TV Launcher - Live AU Channels,Adam Foot,Entertainment,4.21,9.99,29,2024-12-31,Oceania
130,6,Australia,Vidi · Media Center,Plata o Plomo AB,Entertainment,5.0,7.99,9,2024-12-31,Oceania
131,7,Australia,iFart - Fart Sounds App,"InfoMedia, Inc.",Entertainment,4.36,2.99,22,2024-12-31,Oceania
132,8,Australia,PewPewPew - Fingergun,承远 李,Entertainment,5.0,1.99,2,2024-12-31,Oceania
133,9,Australia,iTHUMP/Toxic+,Ian Pidgeon,Entertainment,4.67,99.99,12,2024-12-31,Oceania
134,10,Australia,Kids' Calendar,Luz Tatiana Abromitis,Entertainment,4.0,1.99,2,2024-12-31,Oceania
135,11,Australia,Toca Hair Salon Me,Toca Boca AB,Entertainment,3.64,7.99,25,2024-12-31,Oceania
136,12,Australia,Big Button Box - Sound Effects,Shaved Labs Ltd,Entertainment,4.63,2.99,16,2024-12-31,Oceania
137,13,Australia,Talking Carl,Tayasui.com,Entertainment,3.95,1.99,60,2024-12-31,Oceania
138,14,Australia,Universe Splitter,Aerfish LLC,Entertainment,4.42,2.99,71,2024-12-31,Oceania
139,15,Australia,Nighty Night!,Fox and Sheep GmbH,Entertainment,4.83,5.99,24,2024-12-31,Oceania
140,16,Australia,Audio Assistant for Avalon,Omar Mustafa,Entertainment,4.0,1.99,5,2024-12-31,Oceania
141,17,Australia,Oldify - Old Face App,Apptly LLC,Entertainment,4.22,1.99,222,2024-12-31,Oceania
142,18,Australia,iComics,XD Digital Pty Ltd,Entertainment,4.71,1.99,299,2024-12-31,Oceania
143,19,Australia,LSW Collector,Kevin Downard,Entertainment,4.5,7.99,6,2024-12-31,Oceania
144,20,Australia,The Ultimate Buzzer Pro,Kevin Makens,Entertainment,4.26,1.99,27,2024-12-31,Oceania
145,21,Australia,Stick Nodes Pro - Animator,"ForTheLoss Games, Inc",Entertainment,4.75,5.99,297,2024-12-31,Oceania
146,22,Australia,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,4.66,12.99,261,2024-12-31,Oceania
147,23,Australia,Baldify - Go Bald,Apptly LLC,Entertainment,4.43,1.99,28,2024-12-31,Oceania
148,24,Australia,VLC Remote Pro!,Hobbyist Software Limited,Entertainment,4.76,29.99,165,2024-12-31,Oceania
149,25,Australia,Centurion Timekeeper Game,Thomas Lopez,Entertainment,0.0,1.99,0,2024-12-31,Oceania
150,1,Australia,SkyView®,Terminal Eleven LLC,Education,4.52,4.99,575,2024-12-30,Oceania
151,2,Australia,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,4.23,39.99,144,2024-12-30,Oceania
152,3,Australia,Star Walk 2: Stars in the Sky,Vito Technology Inc.,Education,4.67,4.99,4308,2024-12-30,Oceania
153,4,Australia,rED Writing - Learn to Write,Kristy Swift,Education,4.2,4.99,194,2024-12-30,Oceania
154,5,Australia,StarMap 3D+ Plus: Star Gazing,Sanville Software,Education,4.77,4.99,355,2024-12-30,Oceania
155,6,Australia,Te Aka Māori Dictionary,TE MURUMARA FOUNDATION,Education,4.5,5.99,6,2024-12-30,Oceania
156,7,Australia,PANTHEON - Official,D'Uva Workshop s.r.l.,Education,2.67,2.99,3,2024-12-30,Oceania
157,8,Australia,Blaze & the Monster Machines,Nickelodeon,Education,3.67,5.99,3,2024-12-30,Oceania
158,9,Australia,Toca Hair Salon 2,Toca Boca AB,Education,4.06,5.99,141,2024-12-30,Oceania
159,10,Australia,Wagotabi: Learn Japanese,WAGOTABI LIMITED,Education,5.0,6.99,11,2024-12-30,Oceania
160,11,Australia,ReverseMyTrailer,Technospeak Limited,Education,2.44,2.99,9,2024-12-30,Oceania
161,12,Australia,CE5 Contact,Sirius Technology Advanced Research,Education,3.36,14.99,14,2024-12-30,Oceania
162,13,Australia,GENKI Vocab for 3rd Ed.,"The Japan Times Publishing, Ltd.",Education,2.75,9.99,16,2024-12-30,Oceania
163,14,Australia,CBAT,George Lee,Education,4.74,5.99,23,2024-12-30,Oceania
164,15,Australia,Stargate ESP Trainer,Russell Targ,Education,4.33,1.99,3,2024-12-30,Oceania
165,16,Australia,Homeopathy at Home,Mary Greensmith,Education,4.61,4.99,18,2024-12-30,Oceania
166,17,Australia,Easy Egyptian Arabic,Nkyea Learning Systems,Education,5.0,4.99,2,2024-12-30,Oceania
167,18,Australia,Search With Google,Rija Iqbal,Education,0.0,2.99,0,2024-12-30,Oceania
168,19,Australia,Thinkrolls 1: Puzzles for Kids,AVOKIDDO,Education,4.49,9.99,1893,2024-12-30,Oceania
169,20,Australia,GENKI Conjugation Cards,"The Japan Times Publishing, Ltd.",Education,2.0,9.99,4,2024-12-30,Oceania
170,21,Australia,Memmoread - TOEIC® Listening,Nuttawee Owat,Education,0.0,5.99,0,2024-12-30,Oceania
171,22,Australia,Human Japanese,"Brak Software, Inc.",Education,4.93,14.99,135,2024-12-30,Oceania
172,23,Australia,Abraham Hicks VortexAttraction,Marc Mollicone,Education,4.5,22.99,10,2024-12-30,Oceania
173,24,Australia,Dr. Panda Restaurant 2,Dr. Panda Ltd,Education,4.07,5.99,27,2024-12-30,Oceania
174,25,Australia,Memmoread - TOEIC® Reading,Nuttawee Owat,Education,0.0,5.99,0,2024-12-30,Oceania
175,1,Australia,SkyView®,Terminal Eleven LLC,Education,4.52,4.99,575,2024-12-31,Oceania
176,2,Australia,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,4.23,39.99,144,2024-12-31,Oceania
177,3,Australia,Star Walk 2: Stars in the Sky,Vito Technology Inc.,Education,4.67,4.99,4308,2024-12-31,Oceania
178,4,Australia,CE5 Contact,Sirius Technology Advanced Research,Education,3.36,14.99,14,2024-12-31,Oceania
179,5,Australia,Te Aka Māori Dictionary,TE MURUMARA FOUNDATION,Education,4.5,5.99,6,2024-12-31,Oceania
180,6,Australia,StarMap 3D+ Plus: Star Gazing,Sanville Software,Education,4.77,4.99,355,2024-12-31,Oceania
181,7,Australia,"Astronomy Apps: Space Exploration, Guide to the Night Sky, Stargazing AR",Vito Technology Inc.,Education,0.0,4.99,0,2024-12-31,Oceania
182,8,Australia,PANTHEON - Official,D'Uva Workshop s.r.l.,Education,2.67,2.99,3,2024-12-31,Oceania
183,9,Australia,Blaze & the Monster Machines,Nickelodeon,Education,3.67,5.99,3,2024-12-31,Oceania
184,10,Australia,ReverseMyTrailer,Technospeak Limited,Education,2.44,2.99,9,2024-12-31,Oceania
185,11,Australia,rED Writing - Learn to Write,Kristy Swift,Education,4.2,4.99,194,2024-12-31,Oceania
186,12,Australia,The Observant Mom,Amber Domoradzki,Education,4.65,2.99,23,2024-12-31,Oceania
187,13,Australia,Sky Watcher’s Bundle,Terminal Eleven LLC,Education,4.5,4.99,12,2024-12-31,Oceania
188,14,Australia,Star Rover - Stargazing Guide,寒飞 易,Education,4.69,2.99,29,2024-12-31,Oceania
189,15,Australia,PhET Simulations,University of Colorado Boulder,Education,5.0,1.99,3,2024-12-31,Oceania
190,16,Australia,Abraham Hicks VortexAttraction,Marc Mollicone,Education,4.5,22.99,10,2024-12-31,Oceania
191,17,Australia,CBAT,George Lee,Education,4.74,5.99,23,2024-12-31,Oceania
192,18,Australia,Homeopathy at Home,Mary Greensmith,Education,4.61,4.99,18,2024-12-31,Oceania
193,19,Australia,Search With Google,Rija Iqbal,Education,0.0,2.99,0,2024-12-31,Oceania
194,20,Australia,Teach Your Monster to Read,Teach Your Monster,Education,4.59,14.99,1696,2024-12-31,Oceania
195,21,Australia,StaffWars,"TMI Media, LLC",Education,3.79,2.99,71,2024-12-31,Oceania
196,22,Australia,9/11 Museum Audio Guide,National September 11 Memorial & Museum,Education,2.0,14.99,4,2024-12-31,Oceania
197,23,Australia,Pocket Universe - Astronomy,John Kennedy,Education,4.59,4.99,29,2024-12-31,Oceania
198,24,Australia,Oolimo Guitar Chords,Oliver Mochmann,Education,5.0,9.99,3,2024-12-31,Oceania
199,25,Australia,Intro + Intermediate for iPhone,"Brak Software, Inc.",Education,0.0,13.99,0,2024-12-31,Oceania
200,1,Canada,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.24,11.99,164,2024-12-30,North America
201,2,Canada,iSTB,Nihal Ahmed,Entertainment,4.39,19.99,558,2024-12-30,North America
202,3,Canada,Strange Planet Stickers,"KED, LLC",Entertainment,4.86,2.99,28,2024-12-30,North America
203,4,Canada,Pocket God,Bolt Creative,Entertainment,3.95,0.99,172,2024-12-30,North America
204,5,Canada,Tivimax IPTV Player (Premium),AFIFA CHAUHDARY,Entertainment,2.64,24.99,39,2024-12-30,North America
205,6,Canada,Countdown App,Ryan Boyling,Entertainment,3.03,0.99,2917,2024-12-30,North America
206,7,Canada,Ombi,Jamie Rees,Entertainment,4.77,3.99,161,2024-12-30,North America
207,8,Canada,GSE SMART IPTV PRO,droidvision,Entertainment,3.8,3.99,89,2024-12-30,North America
208,9,Canada,Coloring Watch,Sydvesti Oy,Entertainment,4.06,5.99,18,2024-12-30,North America
209,10,Canada,The Ultimate Buzzer Pro,Kevin Makens,Entertainment,4.67,0.99,57,2024-12-30,North America
210,11,Canada,PewPewPew - Fingergun,承远 李,Entertainment,5.0,0.99,3,2024-12-30,North America
211,12,Canada,Peggy Cat - A Virtual Pet,活鹏 麦,Entertainment,4.82,2.99,11,2024-12-30,North America
212,13,Canada,Shorts Blocker for YouTube,Yevhen Tretiakov,Entertainment,3.86,0.99,7,2024-12-30,North America
213,14,Canada,Countdown Star (Ad-Free),Joseph Merrill,Entertainment,4.64,0.99,517,2024-12-30,North America
214,15,Canada,Spirit Story Box,"Streamside Software, LLC",Entertainment,2.18,2.99,11,2024-12-30,North America
215,16,Canada,Vidi · Media Center,Plata o Plomo AB,Entertainment,4.83,6.99,18,2024-12-30,North America
216,17,Canada,Spirit Contact Talker ITC,Jose Martin,Entertainment,4.38,6.99,251,2024-12-30,North America
217,18,Canada,My PlayHome,PlayHome Software Ltd,Entertainment,4.46,4.99,362,2024-12-30,North America
218,19,Canada,Groic : Listen music togther,Sambhav Jain,Entertainment,2.5,0.99,2,2024-12-30,North America
219,20,Canada,Universe Splitter,Aerfish LLC,Entertainment,4.85,2.99,130,2024-12-30,North America
220,21,Canada,My PlayHome Stores,PlayHome Software Ltd,Entertainment,4.48,3.99,97,2024-12-30,North America
221,22,Canada,Little Kitten Adventure Games,Squeakosaurus ug & co. kg,Entertainment,4.04,7.99,78,2024-12-30,North America
222,23,Canada,GifJif - Custom Gif Creator,Max Shaw,Entertainment,4.78,0.99,411,2024-12-30,North America
223,24,Canada,YACReader - Comic Reader,Luis Ángel San Martín,Entertainment,4.83,6.99,383,2024-12-30,North America
224,25,Canada,My PlayHome Hospital,PlayHome Software Ltd,Entertainment,4.5,3.99,112,2024-12-30,North America
225,1,Canada,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.24,11.99,164,2024-12-31,North America
226,2,Canada,iSTB,Nihal Ahmed,Entertainment,4.39,19.99,558,2024-12-31,North America
227,3,Canada,Pocket God,Bolt Creative,Entertainment,3.95,0.99,172,2024-12-31,North America
228,4,Canada,Countdown App,Ryan Boyling,Entertainment,3.03,0.99,2917,2024-12-31,North America
229,5,Canada,The Ultimate Buzzer Pro,Kevin Makens,Entertainment,4.67,0.99,57,2024-12-31,North America
230,6,Canada,PewPewPew - Fingergun,承远 李,Entertainment,5.0,0.99,3,2024-12-31,North America
231,7,Canada,Universe Splitter,Aerfish LLC,Entertainment,4.85,2.99,130,2024-12-31,North America
232,8,Canada,Strange Planet Stickers,"KED, LLC",Entertainment,4.86,2.99,28,2024-12-31,North America
233,9,Canada,Coloring Watch,Sydvesti Oy,Entertainment,4.06,5.99,18,2024-12-31,North America
234,10,Canada,Little Kitten My Pet Kitty Cat,Squeakosaurus ug & co. kg,Entertainment,4.34,7.99,247,2024-12-31,North America
235,11,Canada,Tivimax IPTV Player (Premium),AFIFA CHAUHDARY,Entertainment,2.64,24.99,39,2024-12-31,North America
236,12,Canada,Talking Carl,Tayasui.com,Entertainment,4.13,0.99,63,2024-12-31,North America
237,13,Canada,Ghost Finder Pro,paolo dematteis,Entertainment,0.0,17.99,0,2024-12-31,North America
238,14,Canada,Dice Pro,Lukas Lubbe,Entertainment,4.81,2.99,26,2024-12-31,North America
239,15,Canada,Peggy Cat - A Virtual Pet,活鹏 麦,Entertainment,4.82,2.99,11,2024-12-31,North America
240,16,Canada,ARGun2018,"ShenZhen Lenze Technology Co,.Ltd.",Entertainment,0.0,0.99,0,2024-12-31,North America
241,17,Canada,Spirit Contact Talker ITC,Jose Martin,Entertainment,4.38,6.99,251,2024-12-31,North America
242,18,Canada,Groic : Listen music togther,Sambhav Jain,Entertainment,2.5,0.99,2,2024-12-31,North America
243,19,Canada,GifJif - Custom Gif Creator,Max Shaw,Entertainment,4.78,0.99,411,2024-12-31,North America
244,20,Canada,Scar Booth,Appdicted,Entertainment,4.57,2.99,46,2024-12-31,North America
245,21,Canada,Akinator VIP,Elokence,Entertainment,4.2,4.99,348,2024-12-31,North America
246,22,Canada,RenpyReader,Ludan Cui,Entertainment,0.0,4.99,0,2024-12-31,North America
247,23,Canada,Ghost Science M3,Michael Weber,Entertainment,4.0,17.99,34,2024-12-31,North America
248,24,Canada,Sarah's Scribbles,"KED, LLC",Entertainment,5.0,2.99,1,2024-12-31,North America
249,25,Canada,Munchkin Level Counter,Steve Jackson Games,Entertainment,3.67,6.99,3,2024-12-31,North America
